292.00   6.19 
17.86  102.83 
 5.85  109.13 
48.48  19.91 
118.12   1.33 
15.55  22.38 
46.67  43.94 
44.85  316.57 
2038.59  13.28 
20.32  18.45 
18.45  72.14 
1428.16  20.38 
1693.14  55.98 
293.49  199.14 
15.56  22.44 
49.51  112.12 
 6.06  33.41 
19.64  15.62 
21.78  45.73 
465.62   9.64 
27.64  81.77 
143.18  16.08 
920.46  42.81 
173.40   0.87 
40.40  71.19 
41.11   4.59 
29.75   5.04 
36.27  30.78 
161.97  131.40 
100.36  115.34 
15.93  18.59 
783.66  122.88 
65.73  575.62 
151.47   7.11 
1797.63  14.98 
423.89   3.57 
989.99   9.58 
13.31   5.57 
 3.67   4.44 
163.15  220.57 
30.29  97.81 
95.38   4.49 
106.46  17.81 
155.43  170.59 
16.28  33.20 
354.84  153.75 
129.90   1.77 
108.23  36.23 
25.91  48.17 
469.00   6.36 
88.31  215.15 
82.04  42.12 
130.82   0.74 
67.93   2.42 
103.96  128.32 
81.15  21.07 
84.99  123.74 
561.10  17.25 
142.83  39.39 
 7.05   2.48 
748.45   8.85 
81.95  12.20 
728.48  110.00 
34.25  10.01 
 2.19  23.93 
164.16  20.51 
45.90   7.58 
29.07  112.68 
29.79  165.82 
18.68  31.30 
236.15  47.66 
287.98  59.34 
16.80   2.98 
21.55  131.17 
63.68   1.03 
25.66   4.44 
 7.28   8.37 
265.60  36.30 
246.48  32.96 
94.47   8.34 
328.65   2.75 
44.54  46.75 
120.16   7.67 
188.08  50.02 
134.38  43.60 
24.06  130.74 
29.87   3.89 
50.30   6.29 
31.52  34.70 
 8.53   3.76 
279.56   7.36 
199.03  17.68 
36.70  12.99 
831.45  63.04 
82.56   6.98 
629.12  43.07 
447.52   8.20 
54.09   4.71 
40.83  242.57 
439.71  17.41 
215.63  15.76 
30.00   7.92 
27.75  10.91 
464.61  97.33 
42.65   6.81 
33.56   5.22 
85.39  10.91 
282.70   1.85 
60.95  32.09 
334.58   7.39 
56.79  576.98 
44.88  68.31 
46.42   4.29 
 4.61  406.47 
400.82  20.72 
77.88   7.66 
75.26   6.47 
22.90  24.41 
86.29  18.03 
152.84  76.43 
6131.94  22.64 
632.78  24.79 
193.53   3.15 
54.55   5.94 
 3.48  10.27 
1431.53  234.26 
15.95   1.40 
187.97   4.21 
283.72  10.87 
13.45  13.68 
 4.42  11.58 
428.67   2.58 
72.62  849.89 
415.17  94.39 
25.68   1.03 
150.67  16.91 
59.59  300.60 
98.71  43.43 
292.53  34.36 
108.05  45.12 
11.10  16.77 
34.75   4.72 
1430.61  63.58 
72.06  667.05 
67.98   2.31 
113.66  31.65 
1452.55  48.13 
 2.95  90.64 
33.15  23.66 
 6.29  56.92 
98.13  476.13 
